,hor_cell_id,hor_cell_name,hor_id,hor_name,hor_ensembl,hor_uniprot,hor_gene_name,rec_id,rec_name,rec_ensembl,rec_uniprot,rec_gene_name,rec_cell_id,rec_cell_name
20,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR01012,5-HT3 receptor,ENST00000375498,P46098,HTR3A,ENC00182,amygdaloid body
21,ENC00585,posterior raphe nucleus of midbrain,ENH00166,serotonin,empty0,empty0,empty0,ENR01012,5-HT3 receptor,ENST00000375498,P46098,HTR3A,ENC00182,amygdaloid body
22,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR01012,5-HT3 receptor,ENST00000375498,P46098,HTR3A,ENC00182,amygdaloid body
23,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR01012,5-HT3 receptor,ENST00000375498,P46098,HTR3A,ENC00182,amygdaloid body
24,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR01012,5-HT3 receptor,ENST00000375498,P46098,HTR3A,ENC00182,amygdaloid body
25,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR01012,5-HT3 receptor,ENST00000375498,P46098,HTR3A,ENC00182,amygdaloid body
26,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00182,amygdaloid body
27,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00182,amygdaloid body
28,ENC00183,brain stem,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00182,amygdaloid body
29,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00182,amygdaloid body
30,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00182,amygdaloid body
31,ENC00585,posterior raphe nucleus of midbrain,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00182,amygdaloid body
32,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00182,amygdaloid body
33,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00182,amygdaloid body
34,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00182,amygdaloid body
35,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00182,amygdaloid body
36,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR01012,5-HT3 receptor,ENST00000375498,P46098,HTR3A,ENC00386,area postrema of pons
37,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR01012,5-HT3 receptor,ENST00000375498,P46098,HTR3A,ENC00386,area postrema of pons
38,ENC00183,brain stem,ENH00166,serotonin,empty0,empty0,empty0,ENR01012,5-HT3 receptor,ENST00000375498,P46098,HTR3A,ENC00386,area postrema of pons
39,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR01012,5-HT3 receptor,ENST00000375498,P46098,HTR3A,ENC00386,area postrema of pons
40,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR01012,5-HT3 receptor,ENST00000375498,P46098,HTR3A,ENC00386,area postrema of pons
41,ENC00585,posterior raphe nucleus of midbrain,ENH00166,serotonin,empty0,empty0,empty0,ENR01012,5-HT3 receptor,ENST00000375498,P46098,HTR3A,ENC00386,area postrema of pons
42,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR01012,5-HT3 receptor,ENST00000375498,P46098,HTR3A,ENC00386,area postrema of pons
43,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR01012,5-HT3 receptor,ENST00000375498,P46098,HTR3A,ENC00386,area postrema of pons
44,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR01012,5-HT3 receptor,ENST00000375498,P46098,HTR3A,ENC00386,area postrema of pons
45,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR01012,5-HT3 receptor,ENST00000375498,P46098,HTR3A,ENC00386,area postrema of pons
46,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00274,atrium of heart
47,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00274,atrium of heart
48,ENC00183,brain stem,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00274,atrium of heart
49,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00274,atrium of heart
50,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00274,atrium of heart
51,ENC00585,posterior raphe nucleus of midbrain,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00274,atrium of heart
52,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00274,atrium of heart
53,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00274,atrium of heart
54,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00274,atrium of heart
55,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00274,atrium of heart
56,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00802,alpha-2A adrenoreceptor,ENST00000449894,P08913,ADRA2A,ENC00267,basket cell
57,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00802,alpha-2A adrenoreceptor,ENST00000449894,P08913,ADRA2A,ENC00267,basket cell
58,ENC00183,brain stem,ENH00166,serotonin,empty0,empty0,empty0,ENR00802,alpha-2A adrenoreceptor,ENST00000449894,P08913,ADRA2A,ENC00267,basket cell
59,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00802,alpha-2A adrenoreceptor,ENST00000449894,P08913,ADRA2A,ENC00267,basket cell
60,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00802,alpha-2A adrenoreceptor,ENST00000449894,P08913,ADRA2A,ENC00267,basket cell
61,ENC00585,posterior raphe nucleus of midbrain,ENH00166,serotonin,empty0,empty0,empty0,ENR00802,alpha-2A adrenoreceptor,ENST00000449894,P08913,ADRA2A,ENC00267,basket cell
62,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00802,alpha-2A adrenoreceptor,ENST00000449894,P08913,ADRA2A,ENC00267,basket cell
63,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00802,alpha-2A adrenoreceptor,ENST00000449894,P08913,ADRA2A,ENC00267,basket cell
64,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00802,alpha-2A adrenoreceptor,ENST00000449894,P08913,ADRA2A,ENC00267,basket cell
65,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00802,alpha-2A adrenoreceptor,ENST00000449894,P08913,ADRA2A,ENC00267,basket cell
66,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00803,alpha-2B adrenoreceptor,ENST00000409345,P18089,ADRA2B,ENC00267,basket cell
67,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00803,alpha-2B adrenoreceptor,ENST00000409345,P18089,ADRA2B,ENC00267,basket cell
68,ENC00183,brain stem,ENH00166,serotonin,empty0,empty0,empty0,ENR00803,alpha-2B adrenoreceptor,ENST00000409345,P18089,ADRA2B,ENC00267,basket cell
69,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00803,alpha-2B adrenoreceptor,ENST00000409345,P18089,ADRA2B,ENC00267,basket cell
70,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00803,alpha-2B adrenoreceptor,ENST00000409345,P18089,ADRA2B,ENC00267,basket cell
71,ENC00585,posterior raphe nucleus of midbrain,ENH00166,serotonin,empty0,empty0,empty0,ENR00803,alpha-2B adrenoreceptor,ENST00000409345,P18089,ADRA2B,ENC00267,basket cell
72,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00803,alpha-2B adrenoreceptor,ENST00000409345,P18089,ADRA2B,ENC00267,basket cell
73,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00803,alpha-2B adrenoreceptor,ENST00000409345,P18089,ADRA2B,ENC00267,basket cell
74,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00803,alpha-2B adrenoreceptor,ENST00000409345,P18089,ADRA2B,ENC00267,basket cell
75,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00803,alpha-2B adrenoreceptor,ENST00000409345,P18089,ADRA2B,ENC00267,basket cell
76,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00257,caudate nucleus
77,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00257,caudate nucleus
78,ENC00183,brain stem,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00257,caudate nucleus
79,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00257,caudate nucleus
80,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00257,caudate nucleus
81,ENC00585,posterior raphe nucleus of midbrain,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00257,caudate nucleus
82,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00257,caudate nucleus
83,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00257,caudate nucleus
84,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00257,caudate nucleus
85,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00257,caudate nucleus
86,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00169,cell of adrenal gland zona fasciculata
87,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00169,cell of adrenal gland zona fasciculata
88,ENC00183,brain stem,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00169,cell of adrenal gland zona fasciculata
89,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00169,cell of adrenal gland zona fasciculata
90,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00169,cell of adrenal gland zona fasciculata
91,ENC00585,posterior raphe nucleus of midbrain,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00169,cell of adrenal gland zona fasciculata
92,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00169,cell of adrenal gland zona fasciculata
93,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00169,cell of adrenal gland zona fasciculata
94,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00169,cell of adrenal gland zona fasciculata
95,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00169,cell of adrenal gland zona fasciculata
96,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00168,cell of adrenal gland zona glomerulosa
97,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00168,cell of adrenal gland zona glomerulosa
98,ENC00183,brain stem,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00168,cell of adrenal gland zona glomerulosa
99,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00168,cell of adrenal gland zona glomerulosa
100,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00168,cell of adrenal gland zona glomerulosa
101,ENC00585,posterior raphe nucleus of midbrain,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00168,cell of adrenal gland zona glomerulosa
102,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00168,cell of adrenal gland zona glomerulosa
103,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00168,cell of adrenal gland zona glomerulosa
104,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00168,cell of adrenal gland zona glomerulosa
105,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00361,5-hydroxytryptamine receptor 4,ENST00000444006,Q13639,HTR4,ENC00168,cell of adrenal gland zona glomerulosa
106,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00068,5-ht-5 receptor,ENST00000287907,P47898,HTR5A,ENC00027,central nerve system element
107,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00068,5-ht-5 receptor,ENST00000287907,P47898,HTR5A,ENC00027,central nerve system element
108,ENC00183,brain stem,ENH00166,serotonin,empty0,empty0,empty0,ENR00068,5-ht-5 receptor,ENST00000287907,P47898,HTR5A,ENC00027,central nerve system element
109,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00068,5-ht-5 receptor,ENST00000287907,P47898,HTR5A,ENC00027,central nerve system element
110,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00068,5-ht-5 receptor,ENST00000287907,P47898,HTR5A,ENC00027,central nerve system element
111,ENC00585,posterior raphe nucleus of midbrain,ENH00166,serotonin,empty0,empty0,empty0,ENR00068,5-ht-5 receptor,ENST00000287907,P47898,HTR5A,ENC00027,central nerve system element
112,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00068,5-ht-5 receptor,ENST00000287907,P47898,HTR5A,ENC00027,central nerve system element
113,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00068,5-ht-5 receptor,ENST00000287907,P47898,HTR5A,ENC00027,central nerve system element
114,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00068,5-ht-5 receptor,ENST00000287907,P47898,HTR5A,ENC00027,central nerve system element
115,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00068,5-ht-5 receptor,ENST00000287907,P47898,HTR5A,ENC00027,central nerve system element
116,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00751,5-ht-6R,ENST00000289753,P50406,HTR6,ENC00027,central nerve system element
117,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00751,5-ht-6R,ENST00000289753,P50406,HTR6,ENC00027,central nerve system element
118,ENC00183,brain stem,ENH00166,serotonin,empty0,empty0,empty0,ENR00751,5-ht-6R,ENST00000289753,P50406,HTR6,ENC00027,central nerve system element
119,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00751,5-ht-6R,ENST00000289753,P50406,HTR6,ENC00027,central nerve system element
120,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00751,5-ht-6R,ENST00000289753,P50406,HTR6,ENC00027,central nerve system element
121,ENC00585,posterior raphe nucleus of midbrain,ENH00166,serotonin,empty0,empty0,empty0,ENR00751,5-ht-6R,ENST00000289753,P50406,HTR6,ENC00027,central nerve system element
122,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00751,5-ht-6R,ENST00000289753,P50406,HTR6,ENC00027,central nerve system element
123,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00751,5-ht-6R,ENST00000289753,P50406,HTR6,ENC00027,central nerve system element
124,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00751,5-ht-6R,ENST00000289753,P50406,HTR6,ENC00027,central nerve system element
125,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00751,5-ht-6R,ENST00000289753,P50406,HTR6,ENC00027,central nerve system element
126,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00068,5-ht-5 receptor,ENST00000287907,P47898,HTR5A,ENC00181,cerebellar cortex
127,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00068,5-ht-5 receptor,ENST00000287907,P47898,HTR5A,ENC00181,cerebellar cortex
128,ENC00183,brain stem,ENH00166,serotonin,empty0,empty0,empty0,ENR00068,5-ht-5 receptor,ENST00000287907,P47898,HTR5A,ENC00181,cerebellar cortex
129,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00068,5-ht-5 receptor,ENST00000287907,P47898,HTR5A,ENC00181,cerebellar cortex
130,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00068,5-ht-5 receptor,ENST00000287907,P47898,HTR5A,ENC00181,cerebellar cortex
131,ENC00585,posterior raphe nucleus of midbrain,ENH00166,serotonin,empty0,empty0,empty0,ENR00068,5-ht-5 receptor,ENST00000287907,P47898,HTR5A,ENC00181,cerebellar cortex
132,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00068,5-ht-5 receptor,ENST00000287907,P47898,HTR5A,ENC00181,cerebellar cortex
133,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00068,5-ht-5 receptor,ENST00000287907,P47898,HTR5A,ENC00181,cerebellar cortex
134,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00068,5-ht-5 receptor,ENST00000287907,P47898,HTR5A,ENC00181,cerebellar cortex
135,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00068,5-ht-5 receptor,ENST00000287907,P47898,HTR5A,ENC00181,cerebellar cortex
136,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00751,5-ht-6R,ENST00000289753,P50406,HTR6,ENC00181,cerebellar cortex
137,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00751,5-ht-6R,ENST00000289753,P50406,HTR6,ENC00181,cerebellar cortex
